Location Number,Store Format,Region Number,District Number,Location City,Location State Code,Zip Code,Zip Plus Four,National Number,National Description,Location Name,Vice President Region Name,Region Manager Name,Close  Date,Planned Close Date,Open Date,District Manager Name,Format Type,Store Format Description,Dma Name,Latitude,Longitude,Original Facility Number,Location Status,Row Create Timestamp,Row Create User Identifier,Row Modify Timestamp,Row Modify User Identifier,,,
4475,KMB,40520,40554,GADSDEN,AL,35903,1513,70001,KMART FORMAT,GADSDEN AL,CLOSED STO/   -     ,YR 2012 STR CLS RM,5/6/2012,5/6/2012,11/30/1972,YR 2012 STR CLS DM,2,KMART BIG K STORES,Birmingham et al, AL,34.0068,-85.9961,?,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
7306,KMB,40760,40745,SIOUX FALLS,SD,57103,2113,70001,KMART FORMAT,SIOUX FALLS SD,CLOSED STO/   -     ,2016 CLOSED RM,1/1/1900,12/11/2016,6/26/1980,2016 WAVE3 CLS DM,2,KMART BIG K STORES,Sioux Falls et al, SD,43.5447,-96.6802,?,CLOSING,5/15/2014 08:56:37,PNADIGE,10/12/2016 09:25:57,MAPMPS_PROD_BCH,,
3211,DLR,79288,78200,MARIANNA,FL,32446,169,70002,SEARS FORMAT,AUTHORIZED HOMETOWN STORE,CLOSED DEA/   DEALER,R9288 CLOSED REGION,5/18/2015,5/18/2015,8/5/2004,HOMETOWN STR ROLLUP,1,AUTH HOMETOWN STORES,Panama City, FL,30.7654,-85.2021,3211,CLOSED,5/15/2014 08:56:37,PNADIGE,3/5/2016 15:58:23,MAPMPS_PROD_BCH,,
9619,KMB,40523,40728,MOREHEAD CITY,NC,28557,2792,70001,KMART FORMAT,MOREHEAD CITY NC,SOUTH EAST/D GEORGE ,D GEORGE/SOUTH EAST,1/1/1900,1/1/1900,10/8/1980,R  CHAPMAN/COLUMB SC,2,KMART BIG K STORES,Greenville et al, NC,34.7323,-76.7879,?,OPEN,5/15/2014 08:56:37,PNADIGE,2/27/2016 22:31:05,MAPMPS_PROD_BCH,,
9163,KMB,40719,40711,PONTIAC,IL,61764,9652,70001,KMART FORMAT,PONTIAC IL,CLOSED STO/   -     ,2012 CLOSED RM,1/20/2013,1/20/2013,9/1/1976,2012 - Closed Stores,2,KMART BIG K STORES,Peoria-Bloomington, IL,40.8707,-88.6453,?,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
25929,APO,58998,58998,HOFFMAN ESTATES,IL,60179,3333,70002,SEARS FORMAT,NEVADA - WORK FROM HOME,WORK FROM /   DEMPST,DEMPSTER CHRIS,1/1/1900,1/1/1900,9/15/2006,DEMPSTER CHRIS,450,ACCOUNTING UNITS,Chicago, IL,0,0,25929,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
9701,SVC,74271,73271,LONGWOOD,FL,32750,6457,70002,SEARS FORMAT,LONGWOOD-HVAC,SHIP REPAI/SHIP REPA,SHIP REPAIR,1/1/1900,1/1/1900,1/26/2010,SHIP REPAIR,660,SERVICE CENTRALS,Orlando et al, FL,0,0,9701,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
6784,SAC,79074,78553,MATTESON,IL,60443,?,70002,SEARS FORMAT,MATTESON-SAC,SOUTH CENT/SAC - REG,CENTRAL REG 9074,1/1/1900,1/1/1900,1/26/1998,CHICAGO - S 553,1,SEARS AUTO CENTERS,Chicago, IL,41.5059,-87.728,6784,OPEN,5/15/2014 08:56:37,PNADIGE,2/13/2016 09:20:38,MAPMPS_PROD_BCH,,
6824,GRD,79297,78297,WESTLAKE,OH,44145,1943,70002,SEARS FORMAT,WESTLAKE - B,CLOSED REG/   CLOSED,R9025 CLOSED REGI,2/27/2012,2/27/2012,11/18/2006,D297 CLOSED FLS D,1,SEARS GRANDS,Cleveland et al, OH,41.4659,-81.9524,5715,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
37921,HDQ,74407,73407,HOFFMAN ESTATES,IL,60179,3333,70002,SEARS FORMAT,SHC COMMUNITY SERVICES,Overhead  /OHD 6,OVERHEAD RGN,1/1/1900,1/1/1900,3/25/2011,OVERHEAD DIST,700,HDQTRS DEPTS,Chicago, IL,0,0,?,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
