SHC_LOCN_NBR,NATL_NBR,SLL_FMT,VP_OVRHD_NBR,RGN_OVRHD_NBR,DM_OVRHD_NBR,LOCN_NBR,LOCN_LVL,FORMAT_TYPE,FORMAT_SUB_TYPE,STR_FMT,ORIG_FACILITY_NBR,ORIG_FACILITY_NBR_INT,AMMC_OVRHD_NBR,AMMC_MGR_NM,RPT_STR_NBR,LOCN_CTY,LOCN_ST_CD,ZIP_CD,ZIP_PLS_4,LOCN_OPN_DT,LOCN_CLS_DT,SHC_LOCN_DESC,NATL_DESC,SLL_FMT_DESC,VP_RGN_NM,RGN_MGR_NM,DM_MGR_NM,LOCN_NM,FMT_TYPE_MOD_CD,STR_TYPE_IND,CRM_FMT_SUB_TYPE,CLIM_ZN_NBR,MERCH_AREA_NBR,MERCH_AREA_NM,SRS_UNIT_LOCN_NBR,STR_OPER_CD,STR_OPER_DESC,LFSTY_CLS_CD,LOCN_CLS_CD
100000,70002,110,80297,79297,78297,2696,50,001,B ,FLS,0002696,2696,0,,2696,HOUMA,LA,70364,3753,10/6/1966,7/17/2016,SHC NATIONAL LOCATION,SEARS FORMAT,HARDWARE STORES,CLOSED REG/   CLOSED,R9025 CLOSED REGI,D297 CLOSED FLS D,HOUMA - B,  ,E,B ,4,14,GULF COAST,0,6,CLOSED FOR PROFIT,0,0
100000,70001,230,38368,40511,40580,4382,50,002,2B,KMB,       ,?,40717,D  HORN/NORTH WEST,4382,LANSING,MI,48911,3893,11/12/1970,?,SHC NATIONAL LOCATION,KMART FORMAT,KMART STORES,NORTH WEST/M MCNERNE,M MCNERNEY/NORT WEST,E  MOYER/MI/NW OH,LANSING MI,  ,B,2B,1,7,NORTH CENTRAL,2944,1,OPEN FOR PROFIT,2,2
100000,70001,230,38353,40760,40745,7718,50,002,2B,KMB,       ,?,40705,J  SMITH/SOUTH EAST,7718,HIXSON,TN,37343,4946,2/9/1995,?,SHC NATIONAL LOCATION,KMART FORMAT,KMART STORES,CLOSED STO/   -     ,2016 CLOSED RM,2016 WAVE3 CLS DM,HIXSON TN,  ,B,2B,3,4,SOUTH,7666,1,OPEN FOR PROFIT,2,2
100000,70002,260,75500,74500,73302,35309,50,999,  ,MSC,D20SIM ,?,0,,35309,HOFFMAN EST,IL,60179,?,12/20/2000,?,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,BRANDS-SEA/SBMC(SIMI,SBMC(SIMI),SBMC-LATIN AMERICA,SIMI AVAILABLE,  ,?,  ,?,7,NORTH CENTRAL,0,4,UNDEFINED,0,0
100000,70002,260,75402,74402,73402,9269,50,001,Z ,ONS,0009269,9269,0,,9269,ROUND ROCK,TX,78664,8701,7/17/2014,?,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,RHDPR     /   HOME D,RHDPR HOME DEL PR,HOME DELIVERY,DELIVERY DCSO,  ,?,Z ,?,12,SOUTHWEST,0,1,OPEN FOR PROFIT,0,0
100000,70002,260,75413,74413,73413,35207,50,450,J ,APO,D201165,?,0,,35207,CONCORD,NC,28025,?,11/26/2003,?,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,RSTTO     /   SEARS,RSTTO SEARS SECUR,DSTDC SST DEPOSIT,CONCORD - A,  ,?,J ,?,7,NORTH CENTRAL,0,4,UNDEFINED,0,0
100000,70002,150,80594,79594,78124,3930,50,001,O ,DLR,0003930,3930,0,,3930,HUNTINGTON,IN,46750,1353,11/14/1997,?,SHC NATIONAL LOCATION,SEARS FORMAT,AUTH HOMETOWN STORES,NORTHEAST /HOMETOWN,R9042 NORTH REG,D124 FT WAYNE,AUTHORIZED HOMETOWN STORE,  ,?,O ,?,7,NORTH CENTRAL,0,1,OPEN FOR PROFIT,0,0
100000,70002,100,80231,79231,78161,2933,50,001,B ,FLS,0002933,2933,0,,2933,NEW HYDE PARK,NY,11040,1761,5/25/1990,?,SHC NATIONAL LOCATION,SEARS FORMAT,FULL LINE STORES,NORTHEAST /FLS - REG,NORTHEAST,NEW YORK 161,NEW HYDE PARK-INTCPT - B,  ,E,B ,1,2,NORTH EAST,0,1,OPEN FOR PROFIT,0,0
100000,70002,150,80288,79288,78200,9982,50,001,O ,DLR,0009982,9982,0,,9982,ROSEMOUNT,MN,55068,2757,10/20/2009,3/26/2014,SHC NATIONAL LOCATION,SEARS FORMAT,AUTH HOMETOWN STORES,CLOSED DEA/   DEALER,R9288 CLOSED REGION,HOMETOWN STR ROLLUP,STORE IN LIQUIDATION,  ,?,O ,?,9,ARCTIC,0,6,CLOSED FOR PROFIT,0,0
100000,70002,115,70501,70502,70503,54213,50,450,J ,APO,       ,?,0,,54213,DALLAS,TX,75206,?,3/1/2006,?,SHC NATIONAL LOCATION,SEARS FORMAT,SPECIALTY STORES,SEARS     /CORP DIVI,CORP REGION-SEARS,CORP DISTRICT-SEARS,CHITTENDEN BANK CO,  ,?,J ,?,0,,0,4,UNDEFINED,0,0
100000,70002,120,80110,79110,78597,6605,50,001,N1,SAC,0006605,6605,0,,2454,CHESAPEAKE,VA,23321,?,10/4/1989,1/18/2015,SHC NATIONAL LOCATION,SEARS FORMAT,SEARS AUTO CENTERS,CLOSED SAC/SAC - REG,CLOSED UNITS-SAC,D597 CLOSED UNITS,CHESAPEAKE-SAC,  ,?,N1,?,4,SOUTH,0,6,CLOSED FOR PROFIT,0,0
100000,70002,260,80943,79076,78921,4616,50,001,L ,OUT,0004616,4616,0,,4616,CUPEY BAJO,PR,00926,?,2/24/2013,?,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,ORDC DIVIS/   FIELD,ORDC EAST REGION,ORDC EAST DISTRIC,CUPEY BAJO - ORDC NON-SELLING,  ,?,L ,?,21,PUERTO RICO,0,1,OPEN FOR PROFIT,0,0
100000,70002,210,80846,79846,78046,8167,50,660,B ,SVC,0008167,8167,0,,8167,HOUSTON,TX,77076,?,5/3/1971,?,SHC NATIONAL LOCATION,SEARS FORMAT,TELESERVICE CENTERS,OTC DIVISI/OTC DIVIS,OTC REGION,WEST PRC DIST,HOUSTON - BRANCH,  ,?,B ,?,14,GULF COAST,0,1,OPEN FOR PROFIT,0,0
