NatlDesc,LocnNbr,StrFmt,LocnCity,LocnStCd,LocnNm,LocnStat,OrigFacilNbr,CloseDT
KMART FORMAT,7109,KMB,WATERTOWN,CT,WATERTOWN CT,OPEN,,-2.2089888E9
KMART FORMAT,7120,KMB,BELLE VERNON,PA,BELLE VERNON PA,OPEN,,-2.2089888E9
KMART FORMAT,7127,KMB,LA PORTE,IN,LA PORTE IN,OPEN,,-2.2089888E9
KMART FORMAT,7129,KMB,MEADVILLE,PA,MEADVILLE PA,OPEN,,-2.2089888E9
KMART FORMAT,7133,KMB,AUGUSTA,ME,AUGUSTA ME,OPEN,,-2.2089888E9
KMART FORMAT,7134,KMB,CORTLAND,NY,CORTLAND NY,OPEN,,-2.2089888E9
KMART FORMAT,7139,KMB,JACKSON,WY,JACKSON WY,OPEN,,-2.2089888E9
KMART FORMAT,7142,KMB,PITTSTON,PA,PITTSTON PA,OPEN,,-2.2089888E9
KMART FORMAT,7147,KMB,TAMPA,FL,TAMPA FL,OPEN,,-2.2089888E9
KMART FORMAT,7155,KMB,FAIRHAVEN,MA,FAIRHAVEN MA,OPEN,,-2.2089888E9
KMART FORMAT,7160,KMB,BEAUFORT,SC,BEAUFORT SC,OPEN,,-2.2089888E9
KMART FORMAT,7165,KMB,CAMARILLO,CA,CAMARILLO CA,OPEN,,-2.2089888E9
KMART FORMAT,7169,KMB,SALINA,KS,SALINA KS,OPEN,,-2.2089888E9
KMART FORMAT,7174,KMB,PIKEVILLE,KY,PIKEVILLE KY,CLOSING,,-2.2089888E9
KMART FORMAT,7175,KMB,RIVERSIDE,CA,RIVERSIDE CA,OPEN,,-2.2089888E9
KMART FORMAT,7177,KMB,BELLEVILLE,NJ,BELLEVILLE NJ,OPEN,,-2.2089888E9
KMART FORMAT,7187,KMB,ERIE,PA,ERIE PA,OPEN,,-2.2089888E9
KMART FORMAT,7192,KMB,EASTON,PA,EASTON PA,OPEN,,-2.2089888E9
KMART FORMAT,7195,KMB,GOLETA,CA,GOLETA CA,OPEN,,-2.2089888E9
KMART FORMAT,7198,KMB,PHILADELPHIA,PA,PHILADELPHIA PA,OPEN,,-2.2089888E9
KMART FORMAT,7205,KMB,GRAND RAPIDS,MI,GRAND RAPIDS MI,CLOSING,,-2.2089888E9
KMART FORMAT,7207,KMB,COEUR D ALENE,ID,COEUR D ALENE ID,OPEN,,-2.2089888E9
KMART FORMAT,7208,KMB,CLEMMONS,NC,CLEMMONS NC,OPEN,,-2.2089888E9
KMART FORMAT,7209,KMB,EAST LIVERPOOL,OH,EAST LIVERPOOL OH,OPEN,,-2.2089888E9
KMART FORMAT,7216,KMB,MOORHEAD,MN,MOORHEAD MN,CLOSING,,-2.2089888E9
KMART FORMAT,7217,KMB,INDIANA,PA,INDIANA PA,OPEN,,-2.2089888E9
KMART FORMAT,7223,KMB,METAIRIE,LA,METAIRIE LA,OPEN,,-2.2089888E9
KMART FORMAT,7225,KMB,LOS ANGELES,CA,LOS ANGELES CA,OPEN,,-2.2089888E9
KMART FORMAT,7229,KMB,GRAYSON,KY,GRAYSON KY,OPEN,,-2.2089888E9
KMART FORMAT,7232,KMB,ROCHESTER,NH,ROCHESTER NH,OPEN,,-2.2089888E9
KMART FORMAT,7233,KMB,KISSIMMEE,FL,KISSIMMEE FL,OPEN,,-2.2089888E9
KMART FORMAT,7235,KMB,SOMERSET,NJ,SOMERSET NJ,OPEN,,-2.2089888E9
KMART FORMAT,7243,KMB,KOKOMO,IN,KOKOMO IN,OPEN,,-2.2089888E9
KMART FORMAT,7246,KMB,RICHMOND,IN,RICHMOND IN,OPEN,,-2.2089888E9
KMART FORMAT,7254,KMB,SANFORD,NC,SANFORD NC,OPEN,,-2.2089888E9
KMART FORMAT,7255,KMB,SOMERSET,KY,SOMERSET KY,OPEN,,-2.2089888E9
KMART FORMAT,7259,KMB,WILLIAMSBURG,VA,WILLIAMSBURG VA,OPEN,,-2.2089888E9
KMART FORMAT,7274,KMB,MAULDIN,SC,MAULDIN SC,OPEN,,-2.2089888E9
KMART FORMAT,7282,KMB,CLINTON,MD,CLINTON MD,OPEN,,-2.2089888E9
KMART FORMAT,7287,KMB,TAFT,CA,TAFT CA,OPEN,,-2.2089888E9
